top row,Structure,Chemical Name,Minimum % Purity,Catalog Number,Structural Formula,Formula Weight,Availability,Price USD 10mg,Price USD 100mg,Price USD 250mg,Price USD    1g,Price USD    5g,Price USD    20g,Price USD    50g
4039477,,4-(4-Bromo-2-ethyl-benzenesulfonyl)-piperazine hydrochloride,99,FS002214,C12H18BrClN2O2S,369.71046,In Stock,75,,,,,,
4039478,,{2-Benzyl-[2-methoxy-benzenesulfonyl)-amino]-ethyl}-dimethylamine hydrochloride,96,FS002215,C18H25ClN2O3S,384.92855,In Stock,75,95,135,195,,,
4039479,,"4-Imidazo[1,2-a]pyrimidin-2-yl-benzonitrile",99,FS004000,C13H8N4,220.23551,In Stock,75,95,135,195,,,
4039480,,"2-Hydroxy-5-imidazo[1,2-a]pyrimidin-2-yl-benzamide",99,FS004001,C13H10N4O2,254.25025,In Stock,75,95,185,395,895,,
4039481,,"2-(3-Bromo-phenyl)-imidazo[1,2-a]pyrimidine",99,FS004002,C12H8BrN3,274.12166,In Stock,75,135,,,,,
4039483,,"2-(4-Nitro-phenyl)-imidazo[1,2-a] pyrimidine",92,FS004004,C12H8N4O2,240.22316,In Stock,75,95,135,195,,,
4039484,,"2-(3-Nitro-phenyl)-imidazo[1,2-a] pyrimidine",96,FS004005,C12H8N4O2,240.22316,In Stock,75,95,135,195,,,
4039485,,"2,2-Difluoro-benzo[1,3]dioxole-5-boronic acid",95,FS005009,C7H5BF2O4,201.9233,In Stock,95,195,395,850,2495,4995,
4039486,,5-(3'-Hydroxyphenyl)-pyridine-3-carboxamide,95,FS005001,C12H10N2O2,214.2257,In Stock,95,295,495,1495,,,
4039487,,"5-(3'-Cyanophenyl)-pyridine-3-carboxylate, ethyl ester",95,FS005002,C15H12N2O2,252.27509,In Stock,75,95,195,,,,
4039488,,4-(Benzo[b]thiophene-3-sulfonyl)-piperazine hydrochloride,95,FS002216,C12H15ClN2O2S2,318.84655,In Stock,75,95,175,,,,
4039489,,1-Benzyl-4-(2-bromo-benzenesulfonyl)-piperazine hydrochloride,95,FS002217,C17H20BrClN2O2S,431.78215,In Stock,75,95,190,390,,,
4039490,,"Thiomorpholine-1,1-dioxide hydrochloride",90,FS002218,C4H10ClNO2S,171.6468,In Stock,75,95,195,395,1695,3250,
4039491,,"2-(4-Bromo-phenyl)-7-methyl-imidazo[1,2-a]pyrimidine",95,FS004006,C13H10BrN3,288.14875,In Stock,75,95,,,,,
4039492,,"2-(3-Bromo-phenyl)-7-methyl-imidazo[1,2-a]pyrimidine",95,FS004007,C13H10BrN3,288.14875,In Stock,75,95,195,,,,
4039493,,"6-(3-Bromo-phenyl)-imidazo[2,1-b]thiazole",95,FS004008,C11H7BrN2S,279.15984,In Stock,75,,,,,,
4039496,,6-Bromo-phthalazine,95,FS002064,C8H5BrN2,209.04645,In Stock,112,142,292,892,2992,,
4039497,,6-Bromoquinazoline,95,FS002067,C8H5BrN2,209.04645,In Stock,95,,,2290,2995,4495,
4039498,,"6,7,8,9-Tetrahydro-5H-cyclohepta[b]pyridine-N-oxide",95,FS002068,C10H13NO,163.22121,In Stock,75,95,159,495,1995,4995,
4039506,,"6,7,8,9-Tetrahydro-5H-cyclohepta[b]pyridine-2-carbonitrile",95,FS002076,C11H12N2,172.23169,In Stock,95,195,595,850,4495,,
4039513,,"7-Bromo-3,4-dihydro-2H-benzo[b]oxepin-5-one",95,FS002085,C10H9BrO2,241.08603,In Stock,,,,195,950,2950,
4039514,,3-Azetidinone hydrochloride,95,FS002083,C3H6ClNO,107.54037,In Stock,95,195,495,795,2295,3995,
4039518,,3-Iodo-4-aminopyridine,95,FS002088,C5H5IN2,220.0134,In Stock,,,95,155,615,2315,3704
4039519,,"7-Bromo-3,4-dihydro-2H-benzo[b]oxepine",95,FS002089,C10H11BrO,227.10257,In Stock,,,,995,2450,4950,
4039520,,"2-(4-Bromo-phenyl)-imidazo[1,2-a]pyridine",99,FS004009,C13H9BrN2,273.13408,In Stock,75,135,195,,,,
4039523,,"6-(4-Bromo-phenyl)-imidazo[2,1-b]thiazole",95,FS004010,C11H7BrN2S,279.15984,In Stock,75,95,145,245,,,
4039525,,2-Iodo-3-methoxybenzo[b]thiophene,95,FS002091,C9H7IOS,290.12394,In Stock,,,,1350,2950,4950,
4039527,,"3,5-Difluoro-4-chlorophenylboronic acid",95,FS005007,C6H4BClF2O2,192.35838,In Stock,95,195,295,495,1995,4995,
4039530,,"3,5-Difluoro-4-methoxy-phenylboronic acid",95,FS005003,C7H7BF2O3,187.93984,In Stock,95,195,295,495,1995,4995,
4039532,,1-Benzyl-4-(2-methoxy-benzenesulfonyl)-piperazine hydrochloride,95,FS002219,C18H23ClN2O3S,382.91261,In Stock,,,95,265,970,2970,
4039533,,"4-Imidazo[1,2-a]pyridin-2-yl-benzonitrile",97,FS004011,C14H9N3,219.24793,In Stock,75,95,145,,,,
4039534,,"2-(3-Bromo-phenyl)-imidazo[1,2-a]pyridine",97,FS004012,C13H9BrN2,273.13408,In Stock,75,115,145,,,,
4039535,,"4-Imidazo[2,1-b]thiazol-6-yl-benzonitrile",98,FS004013,C12H7N3S,225.27369,In Stock,75,105,165,245,,,
